DATE,M12MTVUSM227NFWA_POP
2009-06-01,9624.9064145882567000
2009-07-01,9626.9536395837874000
2009-08-01,9618.2426832637275000
2009-09-01,9617.7641534554760000
2009-10-01,9598.3730762616446000
2009-11-01,9593.8369355874171000
2009-12-01,9580.1907119459034000
2010-01-01,9558.8003872643144000
2010-02-01,9530.1219634530316000
2010-03-01,9538.9635589821870000
2010-04-01,9547.8910621427722000
2010-05-01,9538.0873458039786000
2010-06-01,9538.0565228920829000
2010-07-01,9534.7510978670686000
2010-08-01,9539.6963260045002000
2010-09-01,9541.7617688755836000
2010-10-01,9548.4255224152719000
2010-11-01,9549.9073931767997000
2010-12-01,9548.1253265643976000
2011-01-01,9552.1660057254394000
2011-02-01,9556.6176166092773000
2011-03-01,9548.4185231719634000
2011-04-01,9529.2342683244722000
2011-05-01,9514.9297004028694000
2011-06-01,9503.7987790267512000
2011-07-01,9481.1003973877124000
2011-08-01,9464.2184603949616000
2011-09-01,9449.1040989401648000
2011-10-01,9428.2953865819555000
2011-11-01,9419.4211299231822000
2011-12-01,9426.8608895625815000
2012-01-01,9433.6229548167615000
2012-02-01,9444.0890212359799000
2012-03-01,9449.0116241466556000
2012-04-01,9443.4211349825029000
2012-05-01,9459.8770902837475000
2012-06-01,9460.7441718777517000
2012-07-01,9455.1965165034641000
2012-08-01,9461.1418624929635000
2012-09-01,9444.2894522425341000
2012-10-01,9443.4229108713698000
2012-11-01,9443.2793153025361000
2012-12-01,9418.6142632148235000
2013-01-01,9419.9813090784161000
2013-02-01,9408.5491181895534000
2013-03-01,9394.4160434319414000
2013-04-01,9398.2931079290497000
2013-05-01,9401.7435033756078000
